perfume,brand,gender,rating_value,rating_count,year,mainaccord1,mainaccord2,mainaccord3,mainaccord4,notes,luxury_or_cheap
classique-pride-2024,jean-paul-gaultier,women,1.86,70,2024.0,citrus,white floral,sweet,fresh,"yuzu, citruses, orange blossom, neroli, musk, blonde woods",luxury
classique-pride-2023,jean-paul-gaultier,unisex,1.91,285,2023.0,citrus,white floral,sweet,fresh spicy,"blood orange, yuzu, neroli, orange blossom, musk, white woods",luxury
le-male-pride-collector,jean-paul-gaultier,men,1.93,632,2020.0,other,other,fresh spicy,cinnamon,"mint, lavender, cardamom, artemisia, bergamot, caraway, cinnamon, orange blossom, vanilla, sandalwood, amber, cedar, tonka bean",luxury
le-male-pride-2023,jean-paul-gaultier,men,1.95,531,2023.0,citrus,white floral,sweet,fresh spicy,"yuzu, blood orange, neroli, orange blossom, musk, white woods",luxury
le-male-pride-2024,jean-paul-gaultier,men,1.95,285,2024.0,white floral,citrus,fresh,soapy,"citruses, yuzu, neroli, orange blossom, woodsy notes, musk",luxury
le-male-pride-edition,jean-paul-gaultier,men,2.53,662,2022.0,citrus,white floral,fresh spicy,sweet,"blood orange, yuzu, neroli, orange blossom, musk, white woods",luxury
classique-pride-edition,jean-paul-gaultier,women,2.75,174,2022.0,citrus,white floral,musky,woody,"yuzu, blood orange, neroli, orange blossom, musk, white wood",luxury
212-heroes-collector-edition,carolina-herrera,men,2.84,31,2023.0,other,woody,aromatic,citrus,"pear, cannabis, lemon zest, ginger, african geranium, leather, woodsy notes",luxury
1-million,paco-rabanne,men,2.95,149,2014.0,citrus,other,cinnamon,leather,"blood orange, grapefruit, mint, cinnamon, spices, rose, leather, amber, white woods, patchouli",luxury
new-look-2024,dior,unisex,2.96,395,2024.0,other,other,fresh,fresh spicy,"aldehydes, frankincense, amber",luxury
love-pulse,avon,women,2.99,119,2013.0,other,fruity,tropical,musky,"carambola (star fruit), rose, musk, cedar",cheap
tutti-twilly-d-hermes,hermes,women,3.03,615,2023.0,fruity,other,fresh,tropical,"litchi, ginger flower, musk",luxury
sunshine-kiss,avon,women,3.05,59,2015.0,other,other,fruity,musky,"carambola (star fruit), frangipani, musk",cheap
celebre-ice,avon,women,3.07,122,2013.0,citrus,other,musky,floral,"grapefruit, green notes, bergamot, violet leaf, rose, freesia, peach, musk, woody notes, vanilla",cheap
gaultier-divine-le-parfum,jean-paul-gaultier,women,3.07,30,2024.0,other,white floral,floral,aldehydic,"solar notes, lily, frangipani, sea salt, amber, benzoin",luxury
red-roses-cologne-2023,jo-malone-london,women,3.08,36,2023.0,other,other,,,"lemon, red rose, honeycomb",luxury
muna,lattafa-perfumes,unisex,3.1,30,2022.0,floral,other,fresh,rose,"watermelon, strawberry, cyclamen, magnolia, peony, damask rose, musk, woody notes",cheap
avon-luck-eau-so-happy,avon,women,3.11,28,2022.0,other,other,floral,sweet,"raspberry, magnolia, musk",cheap
phantom-legion,paco-rabanne,men,3.11,213,2022.0,citrus,other,woody,aromatic,"lemon zest, lavender, lemon, patchouli, smoke, lavender, earthy notes, apple, vanilla, lavender, vetiver",luxury
aspire,avon,women,3.14,300,2011.0,white floral,other,powdery,woody,"aldehydes, jasmine, african orange flower, iris, rose, musk, sandalwood, virginia cedar",cheap
my-sin,lanvin,women,3.14,70,2017.0,fruity,other,powdery,sweet,"juicy apricot, pear, freesia, rose petals, musk, sandalwood",cheap
